1340	Linda	F	99689	1947
1360	Linda	F	96211	1948
1350	James	M	94757	1947
1550	Michael	M	92704	1957
1351	Robert	M	91640	1947
1380	Linda	F	91016	1949
1530	Michael	M	90656	1956
1570	Michael	M	90517	1958
1370	James	M	88584	1948
1490	Michael	M	88528	1954
1510	Michael	M	88327	1955
1352	John	M	88319	1947
1330	James	M	87436	1946
1430	James	M	87261	1951
1450	James	M	87063	1952
1630	Michael	M	86917	1961
1390	James	M	86857	1949
1451	Robert	M	86604	1952
1431	Robert	M	86351	1951
1491	Robert	M	86298	1954
1492	James	M	86272	1954
1470	Robert	M	86256	1953
1511	David	M	86253	1955
1410	James	M	86224	1950
1471	James	M	86099	1953
1610	David	M	85929	1960
1371	Robert	M	85475	1948
1810	Michael	M	85302	1970
1590	Michael	M	85251	1959
1790	Michael	M	85203	1969
1650	Michael	M	85034	1962
1531	James	M	84863	1956
1631	David	M	84758	1961
1551	James	M	84275	1957
1472	Michael	M	84226	1953
1611	Michael	M	84180	1960
1512	James	M	84155	1955
1331	Robert	M	84138	1946
1591	David	M	83931	1959
1532	Robert	M	83917	1956
1391	Robert	M	83872	1949
1670	Michael	M	83782	1963
1513	Robert	M	83703	1955
1411	Robert	M	83559	1950
1452	John	M	83138	1952
1372	John	M	82829	1948
1690	Michael	M	82646	1964
1571	David	M	82578	1958
1691	John	M	82533	1964
1750	Michael	M	82436	1967
1552	David	M	82349	1957
1770	Michael	M	82008	1968
1553	Robert	M	81717	1957
1533	David	M	81624	1956
1432	John	M	81574	1951
1651	David	M	81324	1962
1493	John	M	81165	1954
1392	John	M	81161	1949
1710	Michael	M	81021	1965
1534	John	M	80790	1956
1400	Linda	F	80431	1950
1270	James	M	80261	1943
1473	John	M	80190	1953
1514	John	M	80054	1955
1730	Michael	M	79990	1966
1632	John	M	79929	1961
1494	David	M	79529	1954
1412	John	M	79424	1950
1332	John	M	79261	1946
1453	Michael	M	79049	1952
1554	John	M	78984	1957
1572	James	M	78713	1958
1671	John	M	78625	1963
1592	James	M	78606	1959
1672	David	M	78467	1963
1652	John	M	78429	1962
1830	Michael	M	77594	1971
1573	Robert	M	77272	1958
1250	James	M	77176	1942
1290	James	M	76951	1944
1612	James	M	76832	1960
1593	John	M	76407	1959
1474	David	M	76152	1953
1613	John	M	76093	1960
1574	John	M	75991	1958
1633	James	M	75924	1961
1692	David	M	75054	1964
1271	Robert	M	74865	1943
1594	Robert	M	74502	1959
1310	James	M	74449	1945
820	Mary	F	73985	1921
1420	Linda	F	73978	1951
880	Mary	F	73534	1924
1693	James	M	73037	1964
1634	Robert	M	72901	1961
1433	Michael	M	72797	1951
1653	James	M	72555	1962
1614	Robert	M	72360	1960
840	Mary	F	72173	1922
1251	Robert	M	71838	1942
1454	David	M	71750	1952
1341	Mary	F	71687	1947
860	Mary	F	71638	1923
1711	John	M	71541	1965
1850	Michael	M	71405	1972
1673	James	M	71322	1963
800	Mary	F	70982	1920
1291	Robert	M	70843	1944
940	Mary	F	70639	1927
900	Mary	F	70591	1925
1654	Robert	M	70196	1962
1674	Robert	M	70012	1963
1694	Robert	M	70003	1964
1311	Robert	M	69937	1945
1272	John	M	68919	1943
2030	Michael	M	68763	1981
2010	Michael	M	68696	1980
1361	Mary	F	68597	1948
1910	Michael	M	68454	1975
2050	Michael	M	68235	1982
1480	Mary	F	68007	1954
2070	Michael	M	68000	1983
1712	David	M	67852	1965
1870	Michael	M	67847	1973
920	Mary	F	67832	1926
2090	Michael	M	67741	1984
1990	Michael	M	67739	1979
1713	James	M	67701	1965
1950	Michael	M	67616	1977
1890	Michael	M	67578	1974
1320	Mary	F	67467	1946
760	Mary	F	67366	1918
1970	Michael	M	67158	1978
1440	Linda	F	67082	1952
1353	William	M	66989	1947
1930	Michael	M	66954	1976
960	Mary	F	66872	1928
1381	Mary	F	66864	1949
1751	David	M	66810	1967
1230	James	M	66736	1941
1292	John	M	66610	1944
1731	David	M	66420	1966
1260	Mary	F	66169	1943
1312	John	M	66113	1945
1252	John	M	66027	1942
780	Mary	F	65838	1919
1421	Mary	F	65721	1951
1441	Mary	F	65634	1952
1401	Mary	F	65481	1950
2190	Michael	M	65389	1989
2210	Michael	M	65290	1990
1732	James	M	65174	1966
1413	Michael	M	65144	1950
1733	John	M	65032	1966
2110	Michael	M	64912	1985
1434	David	M	64792	1951
1460	Mary	F	64379	1953
740	Mary	F	64281	1917
1231	Robert	M	64233	1941
2130	Michael	M	64208	1986
1000	Mary	F	64146	1930
2170	Michael	M	64143	1988
1771	David	M	63718	1968
1791	David	M	63700	1969
2150	Michael	M	63655	1987
1840	Jennifer	F	63603	1972
980	Mary	F	63508	1929
1240	Mary	F	63254	1942
1500	Mary	F	63165	1955
1714	Robert	M	63123	1965
1880	Jennifer	F	63114	1974
1455	William	M	63047	1952
1435	William	M	62782	1951
1210	James	M	62473	1940
1280	Mary	F	62467	1944
1860	Jennifer	F	62447	1973
1170	Robert	M	62268	1938
1010	Robert	M	62149	1930
1373	William	M	61965	1948
1475	William	M	61840	1953
1150	Robert	M	61835	1937
1811	James	M	61759	1970
1520	Mary	F	61756	1956
1812	David	M	61752	1970
1752	James	M	61698	1967
950	Robert	M	61669	1927
1753	John	M	61618	1967
1393	William	M	61501	1949
720	Mary	F	61438	1916
1495	William	M	61417	1954
1461	Linda	F	61280	1953
1211	Robert	M	61196	1940
930	Robert	M	61130	1926
1540	Mary	F	61094	1957
1772	John	M	60929	1968
910	Robert	M	60897	1925
890	Robert	M	60801	1924
2230	Michael	M	60785	1991
1414	David	M	60727	1950
970	Robert	M	60699	1928
1773	James	M	60693	1968
1415	William	M	60689	1950
1030	Robert	M	60508	1931
1020	Mary	F	60296	1931
1700	Lisa	F	60269	1965
1394	Michael	M	60046	1949
1333	William	M	60038	1946
2091	Christopher	M	60029	1984
1515	William	M	59958	1955
1792	James	M	59915	1969
1040	Mary	F	59874	1932
990	Robert	M	59798	1929
1190	Robert	M	59645	1939
1191	James	M	59627	1939
2111	Christopher	M	59609	1985
1395	David	M	59601	1949
1920	Jennifer	F	59474	1976
2071	Christopher	M	59349	1983
1734	Robert	M	59330	1966
1300	Mary	F	59283	1945
1050	Robert	M	59266	1932
2051	Christopher	M	59231	1982
1171	James	M	59099	1938
891	John	M	59055	1924
1940	Jennifer	F	58964	1977
1535	William	M	58957	1956
1334	Richard	M	58868	1946
